대표식품명,설명,주요_재료,맛_특징,조리_방식,상황_태그
조개구이,"신선한 조개를 숯불이나 그릴에 구워내어 조개의 고소하고 담백한 맛을 살린 한국의 인기 해산물 요리입니다. 조개의 자연스러운 감칠맛과 숯불 향이 어우러져 술안주나 식사로 사랑받으며, 소금이나 양념장과 함께 즐깁니다.","['조개 (바지락, 가리비, 홍합 등)', '소금', '참기름', '마늘', '파']","['고소한', '담백한', '짭짤한', '감칠맛 나는', '은은한 숯불향']",구이,"['여름 바닷가', '가족 모임', '맥주와 함께', '야외 바비큐', '친구들과의 술자리', '스트레스 해소', '간단한 안주']"
조기구이,"조기를 깨끗이 손질한 후 소금으로 간을 하고 노릇노릇하게 구워낸 한국 전통 생선 요리입니다. 담백하고 고소한 맛이 특징이며, 밥반찬으로 사랑받는 음식입니다.","['조기(생선)', '소금', '식용유 또는 참기름']","['담백한', '고소한', '짭짤한', '은은한 바다 향']",구이,"['가정식 밥상', '소박한 저녁', '전통 한식', '술안주', '담백한 맛을 원할 때']"
족발,"족발은 돼지의 앞다리나 뒷다리 부분을 삶아 만든 한국의 대표적인 안주 및 반찬입니다. 쫄깃하고 부드러운 식감과 진한 고기 맛이 특징이며, 마늘, 생강, 간장 등으로 우려낸 육수에 장시간 삶아 깊은 풍미를 자랑합니다. 주로 새우젓이나 쌈장과 함께 먹으며, 술안주로 인기가 많습니다.","['돼지 족발', '마늘', '생강', '간장', '양파', '파', '후추']","['짭짤한', '고소한', '담백한', '진한 맛', '쫄깃한']",삶기,"['술안주', '친구들과의 모임', '스트레스 해소', '야식', '비오는 날', '소주와 함께', '주말 저녁']"
주꾸미볶음,"주꾸미와 각종 채소를 매콤한 고추장 양념과 함께 빠르게 볶아내는 한국의 인기 해산물 요리로, 쫄깃한 식감과 칼칼한 맛이 어우러져 밥반찬이나 술안주로 사랑받습니다.","['주꾸미', '고추장', '양파', '대파', '당근', '마늘', '고춧가루', '참기름']","['매운', '달콤한', '짭짤한', '감칠맛 나는', '칼칼한']",볶음,"['스트레스 해소', '맥주와 함께', '친구들과의 모임', '빠른 저녁 식사', '비 오는 날', '야식']"
주먹밥,"밥을 손으로 뭉쳐 만든 간편한 한식 식사로, 속재료와 양념에 따라 다양한 맛을 즐길 수 있습니다. 휴대가 편리해 소풍이나 간식, 간단한 한 끼로 인기가 높으며, 집에서도 손쉽게 만들어 먹을 수 있는 음식입니다.","['밥', '김', '참기름', '소금', '속재료(멸치볶음, 김치, 단무지, 햄 등)']","['고소한', '짭짤한', '담백한', '아삭한(속재료에 따라)']",조립(밥 뭉치기),"['소풍', '간편한 한 끼', '야외활동', '아이들 간식', '빠른 식사', '도시락', '간식', '피크닉']"
짜장면,"짜장면은 중국 요리에서 유래한 한국의 대표적인 면 요리로, 볶은 춘장 소스를 두툼한 밀가루 면과 함께 비벼 먹는 음식입니다. 달콤하면서도 짭짤한 춘장 소스와 채소, 돼지고기 등이 어우러져 풍부한 맛을 자랑하며, 한국인의 일상에서 빠르고 간편한 한 끼 식사로 사랑받고 있습니다.","['밀가루 면', '춘장(검은 콩장)', '돼지고기', '양파', '호박', '감자', '양배추']","['달콤한', '짭짤한', '고소한', '풍부한 맛']",볶음,"['빠른 식사', '비오는 날', '친구들과의 모임', '야식', '스트레스 해소', '간편한 점심']"
짬뽕,"짬뽕은 매콤한 국물과 해산물, 각종 야채가 어우러진 중국계 한국식 국수 요리입니다. 붉은 고추기름과 다양한 해산물에서 우러난 깊고 얼큰한 맛이 특징이며, 한국인들이 즐겨 찾는 대표적인 중화요리 중 하나입니다.","['중면(중국식 밀국수)', '오징어', '홍합', '돼지고기', '양배추', '양파', '당근', '대파', '고추기름', '마늘', '생강']","['매운', '얼큰한', '짭짤한', '감칠맛 나는', '해산물의 신선한 맛']",볶음 후 끓이기,"['비오는 날', '스트레스 해소', '속을 풀고 싶을 때', '매운 음식 좋아하는 날', '친구들과의 외식', '야식', '칼칼한 국물이 생각날 때']"
쫄면,"쫄깃한 면발에 매콤새콤한 양념장이 어우러진 한국의 대표적인 비빔면 요리로, 각종 야채와 삶은 달걀, 오징어 등의 해산물이 함께 들어가 상큼하고 개운한 맛을 자랑합니다. 간단하면서도 든든한 한 끼 식사로 인기가 많으며, 특히 여름철에 즐겨 먹습니다.","['쫄면(두껍고 쫄깃한 면)', '오이', '양배추', '당근', '삶은 달걀', '오징어 또는 해산물', '고추장 양념장', '식초', '설탕', '참기름']","['매콤한', '새콤한', '달콤한', '쫄깃한', '상큼한']",비빔,"['더운 여름날', '가벼운 한 끼', '스트레스 해소', '야외 피크닉', '친구들과의 모임', '빠른 식사', '매운 음식 좋아하는 날']"
총각김치,"총각김치는 무청과 무청 줄기를 주재료로 하여 만든 한국 전통 김치로, 아삭하고 시원한 식감이 특징입니다. 꽉 찬 양념과 신선한 무의 조화로 매콤하면서도 깔끔한 맛을 자랑하며, 주로 밑반찬으로 즐겨 먹습니다.","['총각무(무청과 무 줄기)', '고춧가루', '젓갈', '마늘', '생강', '파', '무청']","['매콤한', '아삭한', '시원한', '짭짤한', '깔끔한']",발효,"['가벼운 한 끼', '밥 반찬으로', '봄철 입맛 돋우기', '전통 음식 체험', '가족 모임', '스트레스 해소', '소주와 함께']"
추어탕,"미꾸라지를 주재료로 한 한국 전통 탕 요리로, 영양가가 높고 구수한 맛이 특징입니다. 미꾸라지를 삶아 갈아 만든 육수에 다양한 채소와 향신료를 넣고 끓여 진하고 걸쭉한 국물을 자랑하며, 피로 회복과 원기 보충에 좋은 보양식으로 사랑받습니다.","['미꾸라지', '된장', '마늘', '파', '고추', '감자', '도라지']","['구수한', '담백한', '매콤한', '진한', '영양가 높은']",찌개,"['비오는 날', '피로 회복', '보양식', '추운 겨울', '든든한 한 끼', '전통 음식 체험']"
칼국수,"부드럽고 쫄깃한 밀가루 반죽을 칼로 썰어 만든 면을 사용한 한국의 전통 국수 요리로, 주로 닭육수나 해산물 육수에 다양한 채소와 함께 끓여내 깊고 담백한 맛이 특징입니다. 간단하면서도 든든한 한 끼 식사로 사랑받으며, 특히 겨울철이나 비 오는 날에 인기가 많습니다.","['밀가루', '닭육수 또는 해산물 육수', '호박', '감자', '당근', '파', '마늘']","['담백한', '고소한', '부드러운', '시원한']",국물 요리,"['비오는 날', '겨울철', '가족 식사', '간단한 한 끼', '스트레스 해소', '따뜻한 음식이 생각날 때']"
코다리조림,코다리는 반건조 명태를 사용하여 매콤달콤한 양념장과 함께 조린 한국의 전통 반찬입니다. 부드럽고 쫄깃한 식감과 짭짤하면서도 달콤한 맛이 어우러져 밥반찬으로 인기가 많습니다.,"['코다리(반건조 명태)', '고추장', '간장', '고춧가루', '마늘', '설탕', '생강', '파', '감자', '양파']","['매콤한', '달콤한', '짭짤한', '감칠맛 나는', '약간 쫄깃한']",조림,"['가족과의 저녁식사', '밥도둑 반찬', '비오는 날', '스트레스 해소', '소주와 함께', '손님 접대용']"
콩국수,"콩국수는 삶은 국수에 고소한 콩국물을 부어 먹는 한국의 여름철 대표 음식으로, 시원하고 부드러운 맛이 특징입니다. 영양가가 높고 소화가 잘되어 무더운 날씨에 즐기기 좋으며, 고소한 콩의 풍미와 담백한 맛이 조화를 이룹니다.","['콩', '국수(소면 또는 중면)', '오이', '계란', '소금']","['고소한', '담백한', '시원한', '부드러운']",국수,"['무더운 여름', '가벼운 한끼', '건강식', '야외 소풍', '스트레스 해소', '빠른 식사']"
콩나물국,"맑고 담백한 국물에 아삭아삭한 콩나물이 주재료인 한국의 전통 국물 요리입니다. 소금과 파, 마늘 등 간단한 양념으로 맛을 내어 깔끔하고 시원한 맛이 일품이며, 주로 해장용이나 가벼운 식사로 즐겨집니다.","['콩나물', '물', '파', '마늘', '소금', '국간장 또는 액젓']","['담백한', '시원한', '깔끔한', '은은한 감칠맛']",국,"['해장', '아침 식사', '가벼운 식사', '숙취 해소', '비오는 날', '다이어트 식단', '따뜻한 위로']"
콩나물무침,"아삭아삭한 콩나물을 삶아 고소하고 상큼한 양념장에 버무린 한국의 대표적인 반찬으로, 식사 때 곁들여 먹기 좋고 입맛을 돋우는 역할을 합니다.","['콩나물', '다진 마늘', '참기름', '소금', '파', '고춧가루(선택)']","['담백한', '고소한', '상큼한', '깔끔한']",무침,"['가벼운 식사', '해장용', '더운 날', '집밥 느낌', '빠른 반찬', '비건 옵션']"
파김치,"파김치는 잘 익은 파를 소금과 고춧가루, 젓갈 등으로 버무려 발효시킨 한국의 전통 김치 중 하나입니다. 특유의 알싸하고 시원한 향과 아삭한 식감이 특징이며, 밥반찬이나 고기와 함께 곁들이면 그 맛이 더욱 살아납니다.","['파', '고춧가루', '젓갈', '소금', '마늘', '생강', '설탕']","['매운', '짭짤한', '아삭한', '시원한', '알싸한']",발효,"['고기구이와 함께', '소주 안주', '집들이 음식', '봄철 입맛 돋우기', '가벼운 반찬', '스트레스 해소', '친구들과의 모임']"
파전,"파를 듬뿍 넣어 부치는 한국식 전으로, 바삭하고 고소한 맛이 특징입니다. 주로 해물이나 다양한 채소를 함께 넣어 풍미를 더하며, 비 오는 날 막걸리와 함께 즐기는 전통적인 안주로 사랑받고 있습니다.","['파', '부침가루 또는 밀가루', '계란', '물', '해물 (선택 사항)', '식용유']","['고소한', '짭짤한', '바삭한', '담백한']",구이,"['비오는 날', '막걸리 안주', '친구들과의 모임', '간단한 간식', '스트레스 해소', '야식']"
피자,"이탈리아에서 유래한 대표적인 서양 요리로, 밀가루 반죽 위에 토마토 소스, 치즈, 다양한 토핑을 올려 오븐에 구워내는 음식입니다. 바삭하면서도 쫄깃한 도우와 고소한 치즈, 풍부한 토핑의 조화가 특징이며, 남녀노소 누구나 즐기는 세계적인 인기 메뉴입니다.","['밀가루 반죽', '토마토 소스', '모짜렐라 치즈', '페퍼로니 또는 각종 토핑(버섯, 양파, 피망 등)']","['고소한', '짭짤한', '담백한', '풍부한 맛', '약간 매콤한 (토핑에 따라)']",구이,"['친구들과의 모임', '집에서의 편안한 식사', '파티 음식', '야식', '영화 감상 중', '빠른 배달 음식', '비 오는 날의 위로 음식']"
해물찜,"신선한 각종 해산물을 매콤한 양념과 함께 쪄내어 만든 한국의 대표적인 해물 요리. 쫄깃한 해산물과 감칠맛 나는 양념이 어우러져 풍부한 맛과 식감을 즐길 수 있으며, 술안주나 특별한 날의 식사로 인기가 많습니다.","['오징어', '홍합', '꽃게', '새우', '낙지', '당면', '양파', '대파', '고추장', '마늘']","['매운', '짭짤한', '감칠맛 나는', '칼칼한', '풍부한 맛']",찜,"['술자리', '친구들과의 모임', '기념일', '스트레스 해소', '비 오는 날', '가족 외식']"
호박전,"얇게 썬 애호박에 부침가루와 계란을 입혀 노릇하게 부쳐낸 한국 전통 반찬으로, 부드럽고 고소한 맛이 특징입니다. 간단하면서도 건강한 맛으로 가족 식사나 술안주로 인기가 많습니다.","['애호박', '부침가루', '계란', '소금', '식용유']","['고소한', '담백한', '부드러운', '약간 짭짤한']",구이,"['가벼운 간식', '가족 식사', '술안주', '비오는 날', '소풍 도시락', '스트레스 해소']"
호박죽,"부드럽게 삶은 단호박을 곱게 갈아 만든 한국 전통 죽으로, 고소하고 달콤한 맛이 특징입니다. 소화가 잘 되어 아이부터 어르신까지 모두가 즐길 수 있는 건강식이며, 주로 몸이 허할 때나 명절에 따뜻하게 먹는 음식입니다.","['단호박', '찹쌀', '물', '소금', '설탕 (선택사항)']","['달콤한', '부드러운', '고소한', '담백한']",죽 끓이기,"['비오는 날', '몸이 허할 때', '명절 아침', '가벼운 식사', '아이 간식', '어르신 건강식', '스트레스 완화']"
홍어무침,"홍어를 삶거나 익힌 후 매콤하고 새콤한 고추장 양념과 각종 채소와 함께 버무린 전라도 지역의 전통 향토 음식입니다. 특유의 강한 향과 쫄깃한 식감이 특징이며, 주로 술안주나 밥반찬으로 즐겨 먹습니다.","['홍어', '고추장', '고춧가루', '식초', '설탕', '양파', '부추', '깻잎', '참기름']","['매운', '새콤한', '짭짤한', '톡 쏘는 향']",무침,"['술안주', '전라도 여행', '매운 음식 좋아하는 날', '스트레스 해소', '친구들과의 모임', '특별한 맛 경험']"
황태구이,"황태는 말린 명태를 가리키며, 황태구이는 이 말린 황태를 숯불이나 팬에 구워 고소하고 쫄깃한 식감을 살린 한국 전통 요리입니다. 간단하면서도 깊은 감칠맛과 고소함이 특징이며, 밥반찬이나 술안주로 인기가 많습니다.","['황태', '참기름', '마늘', '고추장 또는 간장', '깨소금', '파']","['고소한', '짭짤한', '감칠맛 나는', '쫄깃한']",구이,"['가을철 별미', '소주와 함께', '간단한 안주', '술자리', '바람 쐬러 간 날', '스트레스 해소']"
회무침,"신선한 생선회에 각종 채소와 매콤새콤한 양념장을 버무려 만든 한국의 대표적인 해산물 무침 요리로, 상큼하고 아삭한 식감이 특징입니다. 회의 부드러운 맛과 양념의 강렬한 맛이 조화를 이루어 입맛을 돋우는 안주 또는 반찬으로 사랑받습니다.","['생선회 (광어, 연어 등)', '오이', '당근', '양파', '고추', '고추장', '식초', '설탕', '참기름', '깨']","['매콤한', '새콤한', '달콤한', '아삭한', '신선한']",무침,"['더운 날 시원한 음식', '회식 자리', '술안주', '가벼운 식사', '여름철 별미', '친구들과의 모임']"
훈제오리,훈제오리는 오리 고기를 향긋한 나무 연기로 훈제하여 깊고 고소한 맛을 낸 한국의 전통적인 육류 요리입니다. 부드러운 식감과 함께 특유의 스모키한 향이 어우러져 특별한 식사 자리나 건강식으로 인기가 많습니다.,"['오리 고기', '소금', '후추', '훈제용 나무칩 (주로 참나무)']","['고소한', '짭짤한', '스모키한', '담백한']",훈제,"['가족 모임', '건강식', '특별한 날', '술안주', '가을 야외 식사', '스트레스 해소']"
